Team Name,League,Conference,Country,City,Home Field/Stadium,Head Coach,Latitude,Longitude,Team Color,Trivia
Kuopio Steelers,Vaahteraliiga (Maple League),1st Division,Finland,Kuopio,Väinölänniemen Stadion (Väinölänniemi Stadium),Michael Mattingly,62.8924601,27.6781839,#C8102E,Won three consecutive Maple Bowls (2020-2022).
Helsinki Wolverines,Vaahteraliiga (Maple League),1st Division,Finland,Helsinki,Helsinki Velodrome,Pekka Lamminsalo,60.1674881,24.9427473,#203864,No trivia available yet!
Obic Seagulls,X League (Japan),East Division,Japan,"Narashino, Chiba",Akitsu Soccer Stadium,Hiroshi Ono,35.6816753,140.0272065,#005BAC,First Japanese team to win the Rice Bowl five times in a row.
Tokyo Gas Creators,X League (Japan),East Division,Japan,"Koto, Tokyo",Amino Vital Field,Masato Itai,35.6727747,139.8169621,#00629B,No trivia available yet!
Ibm Big Blue,X League (Japan),East Division,Japan,"Chiba, Chiba",Akitsu Soccer Stadium,Kevin Craft,35.6070629,140.1062653,#808080,No trivia available yet!
All Mitsubishi Lions,X League (Japan),East Division,Japan,"Hachiōji, Tokyo",Amino Vital Field,Akira Hayashi,35.6663595,139.3163653,#E4002B,No trivia available yet!
Fujitsu Frontiers,X League (Japan),Central Division,Japan,"Kawasaki, Kanagawa",Kawasaki Stadium / Todoroki Athletics Stadium,Hiroshi Yamamoto,35.5306639,139.7037668,#E60012,No trivia available yet!
Nojima Sagamihara Rise,X League (Japan),Central Division,Japan,"Sagamihara, Kanagawa",Sagamihara Asamizo Park Stadium,Shirogataki Ichiro,35.5714621,139.3731052,#0C1C8C,No trivia available yet!
Oriental Bio Silver Star,X League (Japan),Central Division,Japan,"Kawasaki, Kanagawa",Amino Vital Field,Hayato Arima,35.5306639,139.7037668,#B1B3B3,No trivia available yet!
Fuji Film Ebina Minerva Afc,X League (Japan),Central Division,Japan,"Ebina, Kanagawa",Amino Vital Field,Takao Asakura,35.4464147,139.3906427,#808080,No trivia available yet!
Panasonic Impulse,X League (Japan),West Division,Japan,"Kadoma, Osaka",Expo Flash Field,Nobuyoshi Araki,34.739496,135.5869107,#0033A0,No trivia available yet!
Sekisui Challengers,X League (Japan),West Division,Japan,"Amagasaki, Hyogo",Amagasaki Memorial Park Stadium,Takashi Masashige,34.7339783,135.4064015,#808080,No trivia available yet!
Pleiades Fukuoka Suns,X League (Japan),West Division,Japan,"Hakata-Ku, Fukuoka",Toyota Athletic Stadium,Toru Yoshino,33.584574,130.438916,#808080,No trivia available yet!
Elecom Kobe Finies,X League (Japan),West Division,Japan,"Kobe, Hyogo",Kobe Prince Stadium,Masaki Tokimoto,34.6932379,135.1943764,#004B97,No trivia available yet!
